Group, Name, Version
libasyncns,libasyncns,1:0.8+r3+g68cd5af-2
libatasmart,libatasmart,0.19-6
libavc1394,libavc1394,0.5.4-6
libavif,libavif,1.0.4-1
libavtp,libavtp,0.2.0-2
libb2,libb2,0.98.1-2
libblockdev,libblockdev,3.0.4-1
libbluray,libbluray,1.3.4-1
libbpf,libbpf,1.3.0-1
libbs2b,libbs2b,3.1.0-8
libbsd,libbsd,0.11.8-1
libburn,libburn,1.5.6-1
libbytesize,libbytesize,2.8-2
libcaca,libcaca,0.99.beta20-2
libcacard,libcacard,2.7.0-3
libcamera,libcamera,0.2.0-1
libcamera,libcamera-ipa,0.2.0-1
libcanberra,libcanberra,1:0.30+r2+gc0620e4-3
libcap,libcap,2.69-3
libcap,libcap-ng,0.8.4-1
libcbor,libcbor,0.10.2-1
libcdio,libcdio,2.1.0-3
libcdio,libcdio-paranoia,10.2+2.0.1-3
libcdr,libcdr,0.1.7-7
libcloudproviders,libcloudproviders,0.3.5-1
libcolord,libcolord,1.4.7-2
libcups,libcups,1:2.4.7-2
libcupsfilters,libcupsfilters,2.0.0-1
libdaemon,libdaemon,0.14-5
libdatachannel,libdatachannel,0.20.1-1
libdatrie,libdatrie,0.2.13-4
libdbusmenu,libdbusmenu-glib,16.04.0.r498-2
libdbusmenu,libdbusmenu-gtk3,16.04.0.r498-2
libdbusmenu,libdbusmenu-qt5,0.9.3+16.04.20160218-6
libdc1394,libdc1394,2.2.7-1
libdca,libdca,0.0.7-2
libde265,libde265,1.0.15-1
libdecor,libdecor,0.2.2-1
libdeflate,libdeflate,1.19-1
libdisplay,libdisplay-info,0.1.1-3
libdmtx,libdmtx,0.7.7-1
libdnet,libdnet,1.17.0-1
libdovi,libdovi,3.2.0-2
libdrm,libdrm,2.4.120-1
libdv,libdv,1.0.0-11
libdvbpsi,libdvbpsi,1:1.3.3-3
libdvdnav,libdvdnav,6.1.1-2
libdvdread,libdvdread,6.1.3-2
libebml,libebml,1.4.5-1
libebur128,libebur128,1.2.6-1
libedit,libedit,20230828_3.1-1
libei,libei,1.2.1-1
libelf,libelf,0.190-2
libepoxy,libepoxy,1.5.10-2
libevdev,libevdev,1.13.1-1
libevent,libevent,2.1.12-4
libexif,libexif,0.6.24-2
libfabric,libfabric,1.20.0-1
libfakekey,libfakekey,0.3-2
libfdk,libfdk-aac,2.0.3-1
libffi,libffi,3.4.4-1
libfontenc,libfontenc,1.1.7-1
libfreeaptx,libfreeaptx,0.1.1-1
libfyaml,libfyaml,0.9-1
libgcrypt,libgcrypt,1.10.3-1
libgdiplus,libgdiplus,5.6.1-4
libgirepository,libgirepository,1.78.1-1
libglvnd,libglvnd,1.7.0-1
libgme,libgme,0.6.3-4
libgnomekbd,libgnomekbd,1:3.28.1-1
libgpg,libgpg-error,1.47-1
libgphoto2,libgphoto2,2.5.31-1
libgravatar,libgravatar,23.08.4-1
libgudev,libgudev,238-1
libgusb,libgusb,0.4.8-1
libheif,libheif,1.17.6-3
libical,libical,3.0.17-2
libice,libice,1.1.1-2
libidn,libidn,1.42-1
libidn2,libidn2,2.3.7-1
libiec61883,libiec61883,1.2.0-7
libieee1284,libieee1284,0.2.11-15
libimagequant,libimagequant,4.2.2-2
libime,libime,1.1.5-1
libimobiledevice,libimobiledevice,1.3.0-10
libimobiledevice,libimobiledevice-glue,1.3.0-1
libinih,libinih,57-1
libinput,libinput,1.25.0-1
libinstpatch,libinstpatch,1.1.6-2
libiscsi,libiscsi,1.19.0-2
libisl,libisl,0.26-1
libisoburn,libisoburn,1.5.6-1
libisofs,libisofs,1.5.6-1
libjpeg,libjpeg-turbo,3.0.2-2
libjuice,libjuice,1.3.4-1
libjxl,libjxl,0.9.2-1
libkate,libkate,0.4.1-9
libkcddb5,libkcddb5,23.08.4-1
libkcompactdisc,libkcompactdisc,23.08.4-1
libkdcraw,libkdcraw,24.05.2-1
libkdcraw5,libkdcraw5,23.08.4-1
libkdegames,libkdegames,23.08.4-1
libkdepim,libkdepim,23.08.4-1
libkeduvocdocument,libkeduvocdocument,23.08.4-1
libkexiv2,libkexiv2,23.08.4-1
libkgapi,libkgapi,23.08.4-1
libkleo,libkleo,23.08.4-1
libkmahjongg,libkmahjongg,23.08.4-1
libkolabxml,libkolabxml,1.2.1-4
libkomparediff2,libkomparediff2,23.08.4-1
libksane,libksane,23.08.4-1
libksba,libksba,1.6.5-1
libkscreen,libkscreen,5.27.10-1
libksieve,libksieve,23.08.4-1
libksysguard,libksysguard,5.27.10-1
libktorrent,libktorrent,23.08.4-1
liblc3,liblc3,1.0.4-1
libldac,libldac,2.0.2.3-1
libldap,libldap,2.6.6-2
liblouis,liblouis,3.28.0-1
liblqr,liblqr,0.4.2-3
liblrdf,liblrdf,0.6.1-4
libltc,libltc,1.3.2-1
libmad,libmad,0.15.1b-10
libmalcontent,libmalcontent,0.11.1-4
libmatroska,libmatroska,1.7.1-1
libmaxminddb,libmaxminddb,1.9.1-1
libmbim,libmbim,1.30.0-1
libmd,libmd,1.1.0-1
libmfx,libmfx,23.2.2-2
libmicrodns,libmicrodns,0.2.0-1
libmm,libmm-glib,1.22.0-1
libmng,libmng,2.0.3-3
libmnl,libmnl,1.0.5-1
libmodplug,libmodplug,0.8.9.0-5
libmpc,libmpc,1.3.1-1
libmpcdec,libmpcdec,1:0.1+r475-4
libmpeg2,libmpeg2,0.5.1-8
libmsym,libmsym,0.2.3-8
libmtp,libmtp,1.1.21-1
libmusicbrainz5,libmusicbrainz5,5.1.0-5
libmysofa,libmysofa,1.3.2-1
libnbd,libnbd,1.18.1-3
libndp,libndp,1.8-1
libnet,libnet,2:1.3-1
libnetfilter_conntrack,libnetfilter_conntrack,1.0.9-1
libnetfilter_cthelper,libnetfilter_cthelper,1.0.1-1
libnetfilter_cttimeout,libnetfilter_cttimeout,1.0.1-1
libnetfilter_queue,libnetfilter_queue,1.0.5-1
libnewt,libnewt,0.52.23-2
libnfnetlink,libnfnetlink,1.0.2-1
libnfs,libnfs,5.0.2-1
libnftnl,libnftnl,1.2.6-1
libnghttp2,libnghttp2,1.59.0-2
libnghttp3,libnghttp3,1.1.0-2
libngtcp2,libngtcp2,1.2.0-1
libnice,libnice,0.1.21-2
libnl,libnl,3.9.0-1
libnm,libnm,1.44.2-3
libnma,libnma,1.10.6-2
libnma,libnma-common,1.10.6-2
libnma,libnma-gtk4,1.10.6-2
libnotify,libnotify,0.8.3-1
libnsl,libnsl,2.0.1-1
libnvme,libnvme,1.7.1-1
libodfgen,libodfgen,0.1.8-2
libogg,libogg,1.3.5-1
libolm,libolm,3.2.16-1
libomxil,libomxil-bellagio,0.9.3-4
libopenmpt,libopenmpt,0.7.3-1
libosinfo,libosinfo,1.11.0-1
libotr,libotr,4.1.1-4
libp11,libp11-kit,0.25.3-1
libpaper,libpaper,2.1.3-1
libpcap,libpcap,1.10.4-1
libpciaccess,libpciaccess,0.18-1
libpgm,libpgm,5.3.128-3
libphonenumber,libphonenumber,1:8.13.27-1
libpipeline,libpipeline,1.5.7-1
libpipewire,libpipewire,1:1.0.3-1
libplacebo,libplacebo,6.338.2-1
libplist,libplist,2.3.0-2
libpng,libpng,1.6.42-1
libppd,libppd,2.0.0-1
libproxy,libproxy,0.5.4-1
libpsl,libpsl,0.21.2-1
libpulse,libpulse,17.0-3
libqaccessibilityclient,libqaccessibilityclient-qt5,0.6.0-1
libqaccessibilityclient,libqaccessibilityclient-qt6,0.6.0-1
libqalculate,libqalculate,4.9.0-2
libqmi,libqmi,1.34.0-1
libqrtr,libqrtr-glib,1.2.2-2
libquotient,libquotient,0.8.1.2-1
libraqm,libraqm,0.10.1-1
libraw,libraw,0.21.2-1
libraw1394,libraw1394,2.1.2-3
libreswan,libreswan,5.3-1
librevenge,librevenge,0.0.5-2
librsvg,librsvg,2:2.57.1-1
libsamplerate,libsamplerate,0.2.2-2
libsasl,libsasl,2.1.28-4
libseccomp,libseccomp,2.5.5-2
libsecret,libsecret,0.21.3-1
libshout,libshout,1:2.4.6-2
libsigc++,libsigc++,2.12.1-1
libsixel,libsixel,1.10.3-5
libslirp,libslirp,4.7.0-1
libsm,libsm,1.2.4-1
libsndfile,libsndfile,1.2.2-2
libsodium,libsodium,1.0.19-2
libsoup,libsoup,2.74.3-1
libsoup3,libsoup3,3.4.4-1
libsoxr,libsoxr,0.1.3-3
libspectre,libspectre,0.2.12-1
libspeechd,libspeechd,0.11.5-1
libspnav,libspnav,1.1-1
libsrtp,libsrtp,1:2.5.0-1
libssh,libssh,0.10.6-2
libssh2,libssh2,1.11.0-1
libstemmer,libstemmer,2.2.0-2
libsysprof,libsysprof-capture,45.2-1
libtar,libtar,1.2.20-6
libtasn1,libtasn1,4.19.0-1
libtatsu,libtatsu,1.0.5-1
libteam,libteam,1.32-1
libthai,libthai,0.1.29-3
libtheora,libtheora,1.1.1-6
libtiff,libtiff,4.6.0-2
libtirpc,libtirpc,1.3.4-1
libtommath,libtommath,1.2.1-1
libtool,libtool,2.4.7+4+g1ec8fa28-7
libtraceevent,libtraceevent,1:1.8.2-1
libtracefs,libtracefs,1.8.0-1
libubox,libubox,master_7928f17-1
libunibreak,libunibreak,5.1-1
libunistring,libunistring,1.1-2
libunwind,libunwind,1.7.2-1
libupnp,libupnp,1.14.18-1
liburcu,liburcu,0.14.0-1
liburing,liburing,2.5-1
libusb,libusb,1.0.27-1
libusbmuxd,libusbmuxd,2.0.2-3
libutempter,libutempter,1.2.1-4
libuv,libuv,1.48.0-1
libva,libva,2.20.0-1
libvdpau,libvdpau,1.5-2
libverto,libverto,0.3.2-4
libvirt,libvirt,1:10.0.0-3
libvirt,libvirt-python,1:10.0.0-1
libvisio,libvisio,0.1.7-10
libvncserver,libvncserver,0.9.14-2
libvorbis,libvorbis,1.3.7-3
libvpl,libvpl,2.10.1-1
libvpx,libvpx,1.14.0-1
libwacom,libwacom,2.10.0-1
libwbclient,libwbclient,4.19.4-1
libwebp,libwebp,1.3.2-1
libwireplumber,libwireplumber,0.4.17-1
libwpd,libwpd,0.10.3-4
libwpg,libwpg,0.3.4-1
libx11,libx11,1.8.7-1
libxau,libxau,1.0.11-2
libxaw,libxaw,1.0.15-1
libxcb,libxcb,1.16-1
libxcomposite,libxcomposite,0.4.6-1
libxcrypt,libxcrypt,4.4.36-1
libxcrypt,libxcrypt-compat,4.4.36-1
libxcursor,libxcursor,1.2.1-3
libxcvt,libxcvt,0.1.2-1
libxdamage,libxdamage,1.1.6-1
libxdmcp,libxdmcp,1.1.4-2
libxdp,libxdp,1.4.2-1
libxext,libxext,1.3.6-1
libxfixes,libxfixes,6.0.1-1
libxfont2,libxfont2,2.0.6-2
libxft,libxft,2.3.8-1
libxi,libxi,1.8.1-1
libxinerama,libxinerama,1.1.5-1
libxkbcommon,libxkbcommon,1.6.0-1
libxkbcommon,libxkbcommon-x11,1.6.0-1
libxkbfile,libxkbfile,1.1.3-1
libxklavier,libxklavier,5.4-5
libxml++,libxml++,3.2.5-1
libxml2,libxml2,2.12.5-1
libxmlb,libxmlb,0.3.15-1
libxmu,libxmu,1.1.4-1
libxpm,libxpm,3.5.17-1
libxpresent,libxpresent,1.0.1-1
libxrandr,libxrandr,1.5.4-1
libxrender,libxrender,0.9.11-1
libxres,libxres,1.2.2-1
libxshmfence,libxshmfence,1.3.2-1
libxslt,libxslt,1.1.39-1
libxss,libxss,1.2.4-1
libxt,libxt,1.3.0-1
libxtst,libxtst,1.2.4-1
libxv,libxv,1.0.12-1
libxxf86vm,libxxf86vm,1.1.5-1
libyaml,libyaml,0.2.5-2
libyuv,libyuv,r2426+464c51a0-1
libzip,libzip,1.10.1-1
licenses,licenses,20240206-1
lilv,lilv,0.24.24-1
linux,linux,6.7.4.arch1-1
linux,linux-api-headers,6.7-1
linux,linux-firmware,20240115.9b6d0b08-2
linux,linux-firmware-whence,20240115.9b6d0b08-2
linux,linux-lts,6.6.16-1
linux,linux-wifi-hotspot,1:4.7.2-2
lksctp,lksctp-tools,1.0.19-1
llvm,llvm,16.0.6-1
llvm,llvm-libs,16.0.6-1
lm_sensors,lm_sensors,1:3.6.0.r41.g31d1f125-2
lmdb,lmdb,0.9.31-1
lokalize,lokalize,23.08.4-1
lskat,lskat,23.08.4-1
lua,lua,5.4.6-3
lua52,lua52,5.2.4-6
lua53,lua53,5.3.6-2
luajit,luajit,2.1.1702233742-1
lv2,lv2,1.18.10-1
lvm2,lvm2,2.03.23-1
lz4,lz4,1:1.9.4-2
lzip,lzip,1.24-1
lzo,lzo,2.10-5
lzop,lzop,1.04-3
m4,m4,1.4.19-3
maeparser,maeparser,1.3.1-2
mailcap,mailcap,2.1.54-1
mailcommon,mailcommon,23.08.4-1
mailimporter,mailimporter,23.08.4-1
mailutils,mailutils,3.17-1
make,make,4.4.1-2
man,man-db,2.12.0-1
marble,marble,23.08.4-1
marble,marble-common,23.08.4-1
mariadb,mariadb,11.2.3-1
mariadb,mariadb-clients,11.2.3-1
mariadb,mariadb-libs,11.2.3-1
marisa,marisa,0.2.6-11
markdownpart,markdownpart,23.08.4-1
massif,massif-visualizer,0.7.0-5
mbedtls,mbedtls,3.5.1-1
mbedtls2,mbedtls2,2.28.7-1
mbox,mbox-importer,23.08.4-1
md4c,md4c,0.5.2-1
mdadm,mdadm,4.2-2
media,media-player-info,24-2
merkuro,merkuro,23.08.4-1
mesa,mesa,1:23.3.5-1
mesa,mesa-utils,9.0.0-3
meson,meson,1.3.1-2
messagelib,messagelib,23.08.4-1
milou,milou,5.27.10-1
mimetreeparser,mimetreeparser,24.05.2-1
mingw,mingw-w64-binutils,2.39-1
mingw,mingw-w64-crt,11.0.0-1
mingw,mingw-w64-gcc,13.1.0-1
mingw,mingw-w64-headers,11.0.0-1
mingw,mingw-w64-winpthreads,11.0.0-1
minicom,minicom,2.11.1-1
minizip,minizip,1:1.3.1-1
minuet,minuet,23.08.4-1
mjpegtools,mjpegtools,2.2.1-2
mkinitcpio,mkinitcpio,37.3-1
mkinitcpio,mkinitcpio-busybox,1.36.1-1
mlt,mlt,7.22.0-3
mobile,mobile-broadband-provider-info,20230416-1
modemmanager,modemmanager,1.22.0-1
modemmanager,modemmanager-qt,6.4.0-1
modemmanager,modemmanager-qt5,5.115.0-1
molequeue,molequeue,0.9.0-3
mono,mono,6.12.0.205-1
moreutils,moreutils,0.68-1
mpdecimal,mpdecimal,2.5.1-1
mpfr,mpfr,4.2.1-2
mpg123,mpg123,1.32.4-1
mpv,mpv,1:0.37.0-2
mpvqt,mpvqt,1.0.0-1
mtd,mtd-utils,2.1.6-1
mtdev,mtdev,1.1.6-2
mujs,mujs,1.3.4-1
multipath,multipath-tools,0.9.7-4
namcap,namcap,3.5.2-1
nasm,nasm,2.16.01-1
ncurses,ncurses,6.4_20230520-1
ncurses5,ncurses5-compat-libs,6.5-1
ndctl,ndctl,78-1
neochat,neochat,23.08.4-2
neon,neon,0.33.0-1
net,net-snmp,5.9.2-2
net,net-tools,2.10-2
netpbm,netpbm,10.86.40-1
nettle,nettle,3.9.1-1
networkmanager,networkmanager,1.44.2-3
networkmanager,networkmanager-libreswan,1.2.24-1
networkmanager,networkmanager-openvpn,1.10.2-3
networkmanager,networkmanager-qt,6.4.0-1
networkmanager,networkmanager-qt5,5.115.0-1
nfs,nfs-utils,2.6.4-1
nfsidmap,nfsidmap,2.6.4-1
nftables,nftables,1:1.0.9-1
nginx,nginx,1.24.0-3
ninja,ninja,1.11.1-3
nmap,nmap,7.94-2
node,node-gyp,10.0.1-1
nodejs,nodejs,21.6.1-1
nodejs,nodejs-nopt,7.2.0-1
noto,noto-fonts,1:24.2.1-1
noto,noto-fonts-cjk,20230817-1
noto,noto-fonts-emoji,1:2.042-1
noto,noto-fonts-extra,1:24.2.1-1
npm,npm,10.4.0-2
npth,npth,1.6-4
nspr,nspr,4.35-2
nss,nss,3.97-1
numactl,numactl,2.0.18-1
nvidia,nvidia-utils,545.29.06-3
nvm,nvm,0.40.3-1
obs,obs-studio,30.0.2-3
ocean,ocean-sound-theme,6.1.3-1
ocl,ocl-icd,2.3.2-1
okular,okular,23.08.4-1
onetbb,onetbb,2021.11.0-1
oniguruma,oniguruma,6.9.9-1
openal,openal,1.23.1-1
openbabel,openbabel,3.1.1-7
opencc,opencc,1.1.7-1
opencore,opencore-amr,0.1.6-1
opencv,opencv,4.9.0-2
openexr,openexr,3.2.2-1
openh264,openh264,2.4.1-1
openjpeg2,openjpeg2,2.5.0-3
openmpi,openmpi,5.0.2-2
openpmix,openpmix,4.2.9-1
openssh,openssh,9.6p1-1
openssl,openssl,3.2.1-1
openssl,openssl-1.0,1.0.2.u-7
openssl,openssl-1.1,1.1.1.w-1
opentimelineio,opentimelineio,0.15-4
openucx,openucx,1.15.0-2
openvpn,openvpn,2.6.8-1
openxr,openxr,1.0.33-1
opus,opus,1.4-1
orc,orc,0.4.37-1
osinfo,osinfo-db,20231215-1
ostree,ostree,2024.1-1
ovpn,ovpn-dco-dkms,1:0.2.20250922-2
oxygen,oxygen,5.27.10-1
oxygen,oxygen-sounds,5.27.10-1
p11,p11-kit,0.25.3-1
pacman,pacman,6.0.2-9
pacman,pacman-mirrorlist,20231001-1
palapeli,palapeli,23.08.4-1
pam,pam,1.6.0-3
pambase,pambase,20230918-1
pango,pango,1:1.51.1-1
pangomm,pangomm,2.46.4-1
parley,parley,23.08.4-1
parted,parted,3.6-1
partitionmanager,partitionmanager,23.08.4-1
patch,patch,2.7.6-10
pciutils,pciutils,3.10.0-1
pcre,pcre,8.45-4
pcre2,pcre2,10.42-2
pcsclite,pcsclite,2.0.1-1
perl,perl,5.38.2-1
perl,perl-clone,0.46-2
perl,perl-encode-locale,1.05-11
perl,perl-error,0.17029-5
perl,perl-file-listing,6.16-2
perl,perl-html-parser,3.81-2
perl,perl-html-tagset,3.20-14
perl,perl-http-cookiejar,0.014-1
perl,perl-http-cookies,6.11-1
perl,perl-http-daemon,6.16-2
perl,perl-http-date,6.06-1
perl,perl-http-message,6.45-1
perl,perl-http-negotiate,6.01-12
perl,perl-io-html,1.004-4
perl,perl-io-tty,1.20-1
perl,perl-ipc-run,20231003.0-1
perl,perl-libwww,6.72-1
perl,perl-locale-gettext,1.07-14
perl,perl-lwp-mediatypes,6.04-4
perl,perl-mailtools,2.21-7
perl,perl-net-http,6.23-2
perl,perl-time-duration,1:1.21-1
perl,perl-timedate,2.33-5
perl,perl-try-tiny,0.31-3
perl,perl-uri,5.21-1
perl,perl-www-robotrules,6.02-12
perl,perl-xml-parser,2.46-5
phonon,phonon-qt5,4.12.0-3
phonon,phonon-qt5-gstreamer,4.10.0-4
phonon,phonon-qt6,4.12.0-3
phonon,phonon-qt6-vlc,0.12.0-2
php,php,8.3.2-1
php,php-pear,1:1.10.24-2
picmi,picmi,23.08.4-1
pim,pim-data-exporter,23.08.4-1
pim,pim-sieve-editor,23.08.4-1
pimcommon,pimcommon,23.08.4-1
pinentry,pinentry,1.2.1-3
pipewire,pipewire,1:1.0.3-1
pipewire,pipewire-audio,1:1.0.3-1
pipewire,pipewire-pulse,1:1.0.3-1
pipewire,pipewire-session-manager,1:1.0.3-1
pixman,pixman,0.43.2-1
pkcs11,pkcs11-helper,1.30.0-1
pkgconf,pkgconf,2.1.0-2
plasma,plasma-activities,6.1.3-1
plasma,plasma-activities-stats,6.1.3-1
plasma,plasma-browser-integration,5.27.10-1
plasma,plasma-desktop,5.27.10-1
plasma,plasma-disks,5.27.10-1
plasma,plasma-firewall,5.27.10-1
plasma,plasma-framework5,5.115.0-1
plasma,plasma-integration,5.27.10-1
plasma,plasma-meta,5.27-4
plasma,plasma-nm,5.27.10-1
plasma,plasma-pa,5.27.10-1
plasma,plasma-sdk,5.27.10-1
plasma,plasma-systemmonitor,5.27.10-1
plasma,plasma-thunderbolt,5.27.10-1
plasma,plasma-vault,5.27.10-1
plasma,plasma-welcome,5.27.10-1
plasma,plasma-workspace,5.27.10-2
plasma,plasma-workspace-wallpapers,5.27.10-1
plasmatube,plasmatube,23.08.4-1
plymouth,plymouth,24.004.60-5
plymouth,plymouth-kcm,5.27.10-1
polkit,polkit,124-2
polkit,polkit-kde-agent,5.27.10-1
polkit,polkit-qt5,0.175.0-1
polkit,polkit-qt6,0.175.0-1
poppler,poppler,24.01.0-1
poppler,poppler-data,0.4.12-1
poppler,poppler-glib,24.01.0-1
poppler,poppler-qt5,24.01.0-1
poppler,poppler-qt6,24.01.0-1
popt,popt,1.19-1
portaudio,portaudio,1:19.7.0-2
postgresql,postgresql-libs,16.1-5
potrace,potrace,1.16-2
powerdevil,powerdevil,5.27.10-2
poxml,poxml,23.08.4-1
ppp,ppp,2.5.0-3
pptpd,pptpd,1.4.0-3
print,print-manager,23.08.4-1
prison,prison,6.4.0-1
prison5,prison5,5.115.0-1
procps,procps-ng,4.0.4-2
protobuf,protobuf,25.2-1
protobuf,protobuf-c,1.5.0-1
prrte,prrte,3.0.4-1
psmisc,psmisc,23.6-1
pugixml,pugixml,1.14-1
pulse,pulse-native-provider,1:1.0.3-1
pulseaudio,pulseaudio-qt,1.4.0-1
purpose5,purpose5,5.115.0-1
pyalpm,pyalpm,0.10.6-5
pyside2,pyside2,5.15.12-1
pyside6,pyside6,6.6.1-1
python,python,3.11.7-1
python,python-aaf2,1.7.1-1
python,python-annotated-types,0.6.0-1
python,python-appdirs,1.4.4-9
python,python-attrs,23.1.0-1
python,python-autocommand,2.2.2-4
python,python-automat,22.10.0-3
python,python-babel,2.12.1-2
python,python-beautifulsoup4,4.12.2-1
python,python-boolean.py,4.0-2
python,python-cachecontrol,1:0.14.0-2
python,python-cairo,1.25.1-1
python,python-certifi,2024.02.02-1
python,python-chardet,5.2.0-1
python,python-charset-normalizer,3.3.2-1
python,python-cinemagoer,2023.05.01-1
python,python-click,8.1.7-1
python,python-constantly,15.1.0-14
python,python-coverage,6.5.0-5
python,python-cssselect,1.2.0-3
python,python-distlib,0.3.8-1
python,python-distro,1.9.0-1
python,python-docutils,1:0.20.1-1
python,python-fastjsonschema,2.19.1-1
python,python-filelock,3.13.1-1
python,python-gobject,3.46.0-1
python,python-greenlet,3.0.1-1
python,python-hyperlink,21.0.0-5
python,python-idna,3.6-1
python,python-imagesize,1.4.1-4
python,python-importlib-metadata,5.1.0-1
python,python-incremental,22.10.0-3
python,python-inflect,7.0.0-2
python,python-jaraco.classes,3.3.0-1
python,python-jaraco.collections,3.5.2-3
python,python-jaraco.context,4.3.0-3
python,python-jaraco.functools,4.0.0-1
python,python-jaraco.text,3.12.0-1
python,python-jinja,1:3.1.3-1
python,python-license-expression,30.2.0-1
python,python-lockfile,0.12.2-12
python,python-lxml,4.9.2-3
python,python-markupsafe,2.1.4-1
python,python-more-itertools,10.1.0-1
python,python-msgpack,1.0.5-1
python,python-numpy,1.26.3-1
python,python-ordered-set,4.1.0-4
python,python-packaging,23.2-1
python,python-pillow,10.2.0-1
python,python-platformdirs,4.1.0-1
python,python-psutil,5.9.8-1
python,python-pydantic,2.6.1-1
python,python-pydantic-core,1:2.16.2-1
python,python-pyelftools,0.30-1
python,python-pygdbmi,0.11.0.0-3
python,python-pygments,2.17.2-1
python,python-pyserial,3.5-5
python,python-pytz,2024.1-1
python,python-qtpy,2.4.0-1
python,python-requests,2.31.0-1
python,python-roman-numerals-py,3.1.0-1
python,python-sentry_sdk,1.40.3-1
python,python-setproctitle,1.3.3-1
python,python-setuptools,1:69.0.3-1
python,python-shiboken2,5.15.12-1
python,python-six,1.16.0-8
python,python-snowballstemmer,2.2.0-5
python,python-soupsieve,2.5-1
python,python-sphinx,7.2.6-1
python,python-sphinx-alabaster-theme,0.7.16-1
python,python-sphinxcontrib-applehelp,1.0.8-1
python,python-sphinxcontrib-devhelp,1.0.6-1
python,python-sphinxcontrib-htmlhelp,2.0.5-1
python,python-sphinxcontrib-jsmath,1.0.1-15
python,python-sphinxcontrib-qthelp,1.0.7-1
python,python-sphinxcontrib-serializinghtml,1.1.10-1
python,python-sqlalchemy,1.4.44-2
python,python-termcolor,2.4.0-1
python,python-tinycss2,1.2.1-2
python,python-tomli,2.0.1-3
python,python-tqdm,4.66.2-1
python,python-trove-classifiers,2024.1.31-1
python,python-twisted,22.10.0-3
python,python-typeguard,4.1.5-1
python,python-typing_extensions,4.9.0-1
python,python-unidecode,1.3.8-1
python,python-urllib3,1.26.18-1
python,python-validate-pyproject,0.13-1
python,python-virtualenv,20.25.0-1
python,python-webencodings,0.5.1-10
python,python-wheel,0.42.0-1
python,python-ytmusicapi,1.5.2-1
python,python-zipp,3.17.0-1
python,python-zope-interface,6.1-1
python,python-zstandard,0.22.0-1
python2,python2,2.7.18-13
qca,qca-qt5,2.3.8-1
qca,qca-qt6,2.3.8-1
qcoro,qcoro,0.12.0-1
qcoro,qcoro-qt5,0.10.0-1
qemu,qemu-audio-alsa,8.2.1-2
qemu,qemu-audio-dbus,8.2.1-2
qemu,qemu-audio-jack,8.2.1-2
qemu,qemu-audio-oss,8.2.1-2
qemu,qemu-audio-pa,8.2.1-2
qemu,qemu-audio-pipewire,8.2.1-2
qemu,qemu-audio-sdl,8.2.1-2
qemu,qemu-audio-spice,8.2.1-2
qemu,qemu-base,8.2.1-2
qemu,qemu-block-curl,8.2.1-2
qemu,qemu-block-dmg,8.2.1-2
qemu,qemu-block-gluster,8.2.1-2
qemu,qemu-block-iscsi,8.2.1-2
qemu,qemu-block-nfs,8.2.1-2
qemu,qemu-block-ssh,8.2.1-2
qemu,qemu-chardev-baum,8.2.1-2
qemu,qemu-chardev-spice,8.2.1-2
qemu,qemu-common,8.2.1-2
qemu,qemu-desktop,8.2.1-2
qemu,qemu-docs,8.2.1-2
qemu,qemu-emulators-full,8.2.1-2
qemu,qemu-full,8.2.1-2
qemu,qemu-hw-display-qxl,8.2.1-2
qemu,qemu-hw-display-virtio-gpu,8.2.1-2
qemu,qemu-hw-display-virtio-gpu-gl,8.2.1-2
qemu,qemu-hw-display-virtio-gpu-pci,8.2.1-2
qemu,qemu-hw-display-virtio-gpu-pci-gl,8.2.1-2
qemu,qemu-hw-display-virtio-gpu-pci-rutabaga,10.1.2-3
qemu,qemu-hw-display-virtio-gpu-rutabaga,10.1.2-3
qemu,qemu-hw-display-virtio-vga,8.2.1-2
qemu,qemu-hw-display-virtio-vga-gl,8.2.1-2
qemu,qemu-hw-display-virtio-vga-rutabaga,10.1.2-3
qemu,qemu-hw-s390x-virtio-gpu-ccw,8.2.1-2
qemu,qemu-hw-uefi-vars,10.1.2-3
qemu,qemu-hw-usb-host,8.2.1-2
qemu,qemu-hw-usb-redirect,8.2.1-2
qemu,qemu-hw-usb-smartcard,8.2.1-2
qemu,qemu-img,8.2.1-2
qemu,qemu-pr-helper,8.2.1-2
qemu,qemu-system-aarch64,8.2.1-2
qemu,qemu-system-alpha,8.2.1-2
qemu,qemu-system-alpha-firmware,8.2.1-2
qemu,qemu-system-arm,8.2.1-2
qemu,qemu-system-arm-firmware,8.2.1-2
qemu,qemu-system-avr,8.2.1-2
qemu,qemu-system-cris,8.2.1-2
qemu,qemu-system-hppa,8.2.1-2
qemu,qemu-system-hppa-firmware,8.2.1-2
qemu,qemu-system-loongarch64,8.2.1-2
qemu,qemu-system-m68k,8.2.1-2
qemu,qemu-system-microblaze,8.2.1-2
qemu,qemu-system-microblaze-firmware,8.2.1-2
qemu,qemu-system-mips,8.2.1-2
qemu,qemu-system-nios2,8.2.1-2
qemu,qemu-system-or1k,8.2.1-2
qemu,qemu-system-ppc,8.2.1-2
qemu,qemu-system-ppc-firmware,8.2.1-2
qemu,qemu-system-riscv,8.2.1-2
qemu,qemu-system-riscv-firmware,8.2.1-2
qemu,qemu-system-rx,8.2.1-2
qemu,qemu-system-s390x,8.2.1-2
qemu,qemu-system-s390x-firmware,8.2.1-2
