Group, Name, Version
dnsmasq,dnsmasq,2.89-1
dnssec,dnssec-anchors,20190629-3
docbook,docbook-xml,4.5-9
docbook,docbook-xsl,1.79.2-7
dolphin,dolphin,23.08.4-1
dolphin,dolphin-plugins,23.08.4-1
double,double-conversion,3.3.0-1
doxygen,doxygen,1.10.0-1
dpkg,dpkg,1.22.0-1
dragon,dragon,23.08.4-1
drkonqi,drkonqi,5.27.10-1
dropbear,dropbear,2022.83-1
dtc,dtc,1.7.0-4
duktape,duktape,2.7.0-6
e2fsprogs,e2fsprogs,1.47.0-1
easy,easy-rsa,3.1.7-1
ebook,ebook-tools,0.2.2-7
editorconfig,editorconfig-core-c,0.12.6-1
edk2,edk2-aarch64,202311-1
edk2,edk2-arm,202311-1
edk2,edk2-ovmf,202311-1
efibootmgr,efibootmgr,18-2
efivar,efivar,39-1
egl,egl-wayland,2:1.1.13-1
egl,egl-x11,1.0.3-1
eglexternalplatform,eglexternalplatform,1.1-2
electron27,electron27,27.3.2-1
elfutils,elfutils,0.190-2
elisa,elisa,23.08.4-1
ell,ell,0.62-1
enchant,enchant,2.6.5-1
ethtool,ethtool,1:6.5-1
eventviews,eventviews,23.08.4-1
exiv2,exiv2,0.28.1-1
expat,expat,2.6.0-1
extra,extra-cmake-modules,5.115.0-1
faac,faac,1.30-4
faad2,faad2,2.11.1-1
fakeroot,fakeroot,1.33-2
falkon,falkon,23.08.4-2
fcgi,fcgi,2.4.2-2
fcitx5,fcitx5,5.1.7-3
fcitx5,fcitx5-chinese-addons,5.1.3-1
fcitx5,fcitx5-configtool,5.1.3-1
fcitx5,fcitx5-gtk,5.1.1-1
fcitx5,fcitx5-pinyin-zhwiki,1:0.2.4.20240210-1
fcitx5,fcitx5-qt,5.1.4-3
fcitx5,fcitx5-table-extra,5.1.3-1
ffmpeg,ffmpeg,2:6.1.1-5
ffmpeg4.4,ffmpeg4.4,4.4.4-4
ffmpegthumbs,ffmpegthumbs,23.08.4-1
fftw,fftw,3.3.10-5
figlet,figlet,2.2.5-5
file,file,5.45-1
filelight,filelight,23.08.4-1
filesystem,filesystem,2024.01.19-1
findutils,findutils,4.9.0-3
firefox,firefox,122.0.1-1
flac,flac,1.4.3-1
flameshot,flameshot,12.1.0-3
flatpak,flatpak,1:1.15.6-2
flatpak,flatpak-kcm,5.27.10-1
flex,flex,2.6.4-5
fluidsynth,fluidsynth,2.3.4-1
fmt,fmt,10.2.0-1
fontconfig,fontconfig,2:2.15.0-2
frameworkintegration,frameworkintegration,6.4.0-1
frameworkintegration5,frameworkintegration5,5.115.0-1
francis,francis,24.05.2-1
freecell,freecell-solver,6.8.0-1
freeglut,freeglut,3.4.0-1
freeradius,freeradius,3.2.3-5
freetype2,freetype2,2.13.2-1
frei0r,frei0r-plugins,2.3.2-2
fribidi,fribidi,1.0.13-2
fstrm,fstrm,0.6.1-1
fuse,fuse-common,3.16.2-1
fuse2,fuse2,2.9.9-4
fuse3,fuse3,3.16.2-1
futuresql,futuresql-qt5,0.1.1-2
gawk,gawk,5.3.0-1
gc,gc,8.2.6-1
gcc,gcc,13.2.1-5
gcc,gcc-ada,13.2.1-5
gcc,gcc-libs,13.2.1-5
gcr,gcr-4,4.1.0-1
gd,gd,2.3.3-7
gdb,gdb,14.1-1
gdb,gdb-common,14.1-1
gdbm,gdbm,1.23-2
gdk,gdk-pixbuf2,2.42.10-2
gengetopt,gengetopt,2.23-2
geoclue,geoclue,2.7.1-2
geoip,geoip,1.6.12-2
geoip,geoip-database,20240127-1
gettext,gettext,0.22.4-1
gfxstream,gfxstream,0.1.2-2
ghostscript,ghostscript,10.02.1-1
ghostwriter,ghostwriter,23.08.4-1
giflib,giflib,5.2.1-2
git,git,2.43.1-1
git,git-extras,7.4.0-1
glew,glew,2.2.0-6
glib,glib-networking,1:2.78.0-1
glib2,glib2,2.78.4-1
glibc,glibc,2.39-1
glibmm,glibmm,2.66.6-1
glm,glm,1.0.0-1
glslang,glslang,13.1.1-3
glu,glu,9.0.3-1
glusterfs,glusterfs,1:11.1-1
glycin,glycin,0.1.2-2
gmp,gmp,6.3.0-1
gnu,gnu-free-fonts,20120503-8
gnu,gnu-netcat,0.7.1-9
gnugo,gnugo,3.8-7
gnulib,gnulib-l10n,20241231-1
gnupg,gnupg,2.4.4-1
gnutls,gnutls,3.8.3-1
go,go,2:1.22.0-1
gobject,gobject-introspection-runtime,1.78.1-1
gocryptfs,gocryptfs,2.4.0-1
google,google-chrome,143.0.7499.109-1
gperf,gperf,3.1-5
gperftools,gperftools,2.15-1
gpgme,gpgme,1.23.2-1
gpm,gpm,1.20.7.r38.ge82d1a6-5
gradle,gradle,8.6-1
granatier,granatier,23.08.4-1
grandstream,grandstream,0.2-2
grantlee,grantlee,5.3.1-1
grantlee,grantlee-editor,23.08.4-1
grantleetheme,grantleetheme,23.08.4-1
graphene,graphene,1.10.8-1
graphicsmagick,graphicsmagick,1.3.42-2
graphite,graphite,1:1.3.14-3
graphviz,graphviz,9.0.0-1
grep,grep,3.11-1
groff,groff,1.23.0-5
grpc,grpc,1.60.1-1
grub,grub,2:2.12-1
gsasl,gsasl,2.2.1-1
gsettings,gsettings-desktop-schemas,45.0-1
gsfonts,gsfonts,20200910-3
gsl,gsl,2.7.1-3
gsm,gsm,1.0.22-1
gspell,gspell,1.12.2-2
gssdp,gssdp,1.6.3-1
gssproxy,gssproxy,0.9.2-1
gst,gst-libav,1.22.9-2
gst,gst-plugin-qml6,1.22.9-2
gst,gst-plugins-bad,1.22.9-2
gst,gst-plugins-bad-libs,1.22.9-2
gst,gst-plugins-base,1.22.9-2
gst,gst-plugins-base-libs,1.22.9-2
gst,gst-plugins-good,1.22.9-2
gstreamer,gstreamer,1.22.9-2
gtest,gtest,1.14.0-1
gtk,gtk-sharp-2,2.12.45-4
gtk,gtk-update-icon-cache,1:4.12.5-1
gtk2,gtk2,2.24.33-3
gtk3,gtk3,1:3.24.41-1
gtk4,gtk4,1:4.12.5-1
gtkmm3,gtkmm3,3.24.8-1
gtksourceview4,gtksourceview4,4.8.4-1
gts,gts,0.7.6.121130-2
guile,guile,3.0.9-1
gupnp,gupnp,1:1.6.6-1
gupnp,gupnp-igd,1.6.0-1
gwenview,gwenview,23.08.4-3
gyp,gyp,20230914.a03d7413-1
gzip,gzip,1.13-2
harfbuzz,harfbuzz,8.3.0-2
haveged,haveged,1.9.18-1
hdf5,hdf5,1.14.3-1
help2man,help2man,1.49.3-1
hicolor,hicolor-icon-theme,0.17-3
hidapi,hidapi,0.14.0-2
highway,highway,1.0.7-1
hiredis,hiredis,1.2.0-2
hostapd,hostapd,2.10-4
hping,hping,3.0.0-5
htop,htop,3.3.0-1
hunspell,hunspell,1.7.2-1
hwdata,hwdata,0.379-1
hwloc,hwloc,2.10.0-1
hypnotix,hypnotix,5.4-1
i2c,i2c-tools,4.3-4
iana,iana-etc,20231228-1
icu,icu,74.2-1
id3lib,id3lib,3.8.3-18
ijs,ijs,0.35-5
imagemagick,imagemagick,7.1.1.27-1
imath,imath,3.1.10-1
imlib2,imlib2,1.12.2-1
incidenceeditor,incidenceeditor,23.08.4-1
inetutils,inetutils,2.5-1
iniparser,iniparser,4.1-4
inkscape,inkscape,1.3.2-3
inotify,inotify-tools,4.23.9.0-1
intltool,intltool,0.51.0-6
iperf,iperf,2.1.9-1
iperf3,iperf3,3.16-1
iproute2,iproute2,6.7.0-1
iptables,iptables,1:1.8.10-1
iputils,iputils,20240117-1
iso,iso-codes,4.16.0-1
itinerary,itinerary,23.08.4-1
iw,iw,6.7-1
iwd,iwd,2.14-1
jack2,jack2,1.9.22-1
jansson,jansson,2.14-2
jasper,jasper,4.2.0-1
java,java-environment-common,3-5
java,java-runtime-common,3-5
jbig2dec,jbig2dec,0.20-1
jbigkit,jbigkit,2.1-7
jdk,jdk-openjdk,21.0.2.u13-3
jemalloc,jemalloc,1:5.3.0-3
jkqtplotter,jkqtplotter,5.0.0git20251013-1
json,json-c,0.17-1
json,json-glib,1.8.0-1
jsoncpp,jsoncpp,1.9.5-2
juk,juk,23.08.4-2
k3b,k3b,1:23.08.4-2
kaccounts,kaccounts-integration,23.08.4-1
kaccounts,kaccounts-providers,23.08.4-1
kactivities,kactivities-stats5,5.115.0-1
kactivities5,kactivities5,5.115.0-1
kactivitymanagerd,kactivitymanagerd,5.27.10-1
kaddressbook,kaddressbook,23.08.4-1
kajongg,kajongg,23.08.4-1
kalarm,kalarm,23.08.4-1
kalgebra,kalgebra,23.08.4-1
kalk,kalk,23.08.4-1
kalm,kalm,24.05.2-1
kalzium,kalzium,23.08.4-1
kamera,kamera,23.08.4-1
kamoso,kamoso,23.08.4-1
kanagram,kanagram,23.08.4-1
kapman,kapman,23.08.4-1
kapptemplate,kapptemplate,23.08.4-1
karchive,karchive,6.4.0-1
karchive5,karchive5,5.115.0-1
kasts,kasts,23.08.4-2
kate,kate,23.08.4-1
katomic,katomic,23.08.4-1
kauth,kauth,6.4.0-1
